id,registration,first_seen,last_seen,times_seen,reason
2971,D-AIUZ,2025-06-06 08:13,2025-06-06 08:13,1,
2970,N436DX,2025-06-06 07:57,2025-06-06 07:57,1,
2972,OE-LQA,2025-06-06 07:40,2025-06-06 07:40,1,
2969,N883BM,2025-06-06 07:18,2025-06-06 07:18,1,
2968,9V-SMA,2025-06-06 07:14,2025-06-06 07:14,1,
2967,N725AN,2025-06-06 06:50,2025-06-06 06:50,1,
2966,N832MH,2025-06-06 05:55,2025-06-06 05:55,1,
2965,CS-TNM,2025-06-06 01:21,2025-06-06 01:21,1,
2964,EI-DCM,2025-06-05 22:56,2025-06-05 22:56,1,
2963,EI-IKO,2025-06-05 22:56,2025-06-05 22:56,1,
2962,EI-IHC,2025-06-05 22:45,2025-06-05 22:45,1,
2961,PH-BGH,2025-06-05 22:42,2025-06-05 22:42,1,
2960,TC-JZG,2025-06-05 22:42,2025-06-05 22:42,1,
2959,SE-RTD,2025-06-05 21:20,2025-06-05 21:20,1,
2958,SE-RTD,2025-06-05 20:42,2025-06-05 20:42,1,
2957,SE-RUE,2025-06-05 18:10,2025-06-05 18:10,1,
2956,F-GRXF,2025-06-05 16:21,2025-06-05 16:21,1,
2955,G-LCAE,2025-06-05 15:15,2025-06-05 15:15,1,
2954,G-LCYV,2025-06-05 15:05,2025-06-05 15:05,1,
2953,JY-AZC,2025-06-05 14:52,2025-06-05 14:52,1,
2952,9H-WZQ,2025-06-05 14:30,2025-06-05 14:30,1,
2951,G-LCAE,2025-06-05 14:16,2025-06-05 14:16,1,
2950,N204UA,2025-06-05 13:43,2025-06-05 13:43,1,
2949,CS-TSG,2025-06-05 13:40,2025-06-05 13:40,1,
2948,A7-BFL,2025-06-05 13:10,2025-06-05 13:10,1,
2947,D-AIWK,2025-06-05 13:09,2025-06-05 13:09,1,
2946,SP-LWB,2025-06-05 12:53,2025-06-05 12:53,1,
2945,7T-VKD,2025-06-05 12:42,2025-06-05 12:42,1,
2944,C-GOIK,2025-06-05 12:35,2025-06-05 12:35,1,
2942,N792AN,2025-06-05 10:33,2025-06-05 10:33,1,
2943,EI-SIG,2025-06-05 10:30,2025-06-05 10:30,1,
2941,HA-LVI,2025-06-05 09:29,2025-06-05 09:29,1,
2940,N570DZ,2025-06-05 09:20,2025-06-05 09:20,1,
2939,YU-APS,2025-06-05 09:18,2025-06-05 09:18,1,
2938,G-EUYJ,2025-06-05 09:14,2025-06-05 09:14,1,
2937,SP-RKU,2025-06-05 09:05,2025-06-05 09:05,1,
2936,EI-IFZ,2025-06-05 08:59,2025-06-05 08:59,1,
2935,EI-DPP,2025-06-05 08:46,2025-06-05 08:46,1,
2934,B-LRX,2025-06-05 08:41,2025-06-05 08:41,1,
2933,PH-EXX,2025-06-05 08:39,2025-06-05 08:39,1,
2932,B-32AS,2025-06-05 08:29,2025-06-05 08:29,1,
2931,EI-IHK,2025-06-05 08:05,2025-06-05 08:05,1,
2930,B-322Z,2025-06-05 07:53,2025-06-05 07:53,1,
2929,N836MH,2025-06-05 05:34,2025-06-05 05:34,1,
2928,9H-QCZ,2025-06-05 00:06,2025-06-05 00:06,1,
2927,4X-EKP,2025-06-04 21:18,2025-06-04 21:18,1,
2926,G-UZLA,2025-06-04 20:58,2025-06-04 20:58,1,
2925,F-HEPH,2025-06-04 20:29,2025-06-04 20:29,1,
2924,EI-EKS,2025-06-04 20:16,2025-06-04 20:16,1,
2923,G-NEOU,2025-06-04 20:15,2025-06-04 20:15,1,
2922,5B-DDK,2025-06-04 20:05,2025-06-04 20:05,1,
2921,9H-AMK,2025-06-04 19:59,2025-06-04 19:59,1,
2920,9H-WNA,2025-06-04 19:43,2025-06-04 19:43,1,
2919,OE-LKO,2025-06-04 18:40,2025-06-04 18:40,1,
2918,9H-KAR,2025-06-04 17:50,2025-06-04 17:50,1,
2917,N27015,2025-06-04 14:02,2025-06-04 14:02,1,
2916,D-AIEC,2025-06-04 13:14,2025-06-04 13:14,1,
2915,EI-GSH,2025-06-04 13:10,2025-06-04 13:10,1,
2914,SP-LVL,2025-06-04 12:57,2025-06-04 12:57,1,
2913,G-EZDK,2025-06-04 12:28,2025-06-04 12:28,1,
2912,F-HXSE,2025-06-04 12:07,2025-06-04 12:07,1,
2911,9H-QEA,2025-06-04 12:05,2025-06-04 12:05,1,
2910,F-HEPJ,2025-06-04 11:58,2025-06-04 11:58,1,
2909,N782AN,2025-06-04 11:02,2025-06-04 11:02,1,
2905,PT-MUA,2025-06-04 09:07,2025-06-04 09:07,1,
2903,EI-ENE,2025-06-04 09:05,2025-06-04 09:05,1,
2904,OE-LBB,2025-06-04 09:04,2025-06-04 09:04,1,
2908,SP-RSD,2025-06-04 09:01,2025-06-04 09:01,1,
2907,9H-KAZ,2025-06-04 08:56,2025-06-04 08:56,1,
2902,SP-RKF,2025-06-04 08:42,2025-06-04 08:42,1,
2901,PH-NXG,2025-06-04 08:40,2025-06-04 08:40,1,
2906,SP-RKF,2025-06-04 08:37,2025-06-04 08:37,1,
2900,A6-EWI,2025-06-04 08:11,2025-06-04 08:11,1,
2899,B-328Q,2025-06-04 08:06,2025-06-04 08:06,1,
2898,D-AGWX,2025-06-04 08:04,2025-06-04 08:04,1,
2897,N433DX,2025-06-04 06:50,2025-06-04 06:50,1,
2896,EC-OJG,2025-06-04 01:05,2025-06-04 01:05,1,
2894,TC-JHV,2025-06-03 23:00,2025-06-03 23:00,1,
2895,G-EZTX,2025-06-03 22:59,2025-06-03 22:59,1,
2893,G-TTNV,2025-06-03 22:23,2025-06-03 22:23,1,
2890,G-EZTX,2025-06-03 22:00,2025-06-03 22:00,1,
2891,D-AIZW,2025-06-03 21:30,2025-06-03 21:30,1,
2892,HA-LZM,2025-06-03 21:30,2025-06-03 21:30,1,
2887,G-EZRY,2025-06-03 20:55,2025-06-03 20:55,1,
2886,HB-JXK,2025-06-03 20:44,2025-06-03 20:44,1,
2885,G-EUYN,2025-06-03 20:35,2025-06-03 20:35,1,
2888,OK-TVF,2025-06-03 20:30,2025-06-03 20:30,1,
2889,D-AEEA,2025-06-03 20:00,2025-06-03 20:00,1,
2884,D-AEEA,2025-06-03 19:13,2025-06-03 19:13,1,
2883,7T-VKP,2025-06-03 19:05,2025-06-03 19:05,1,
2882,EI-DYR,2025-06-03 18:55,2025-06-03 18:55,1,
2880,PH-HSE,2025-06-03 18:50,2025-06-03 18:50,1,
2881,CS-TJH,2025-06-03 17:51,2025-06-03 17:51,1,
2879,4X-EMC,2025-06-03 17:50,2025-06-03 17:50,1,
2876,F-HEPA,2025-06-03 17:33,2025-06-03 17:33,1,
2877,EI-GSJ,2025-06-03 17:26,2025-06-03 17:26,1,
2878,9A-CAL,2025-06-03 17:23,2025-06-03 17:23,1,
2875,TC-JNJ,2025-06-03 16:55,2025-06-03 16:55,1,
2873,9H-QAG,2025-06-03 16:45,2025-06-03 16:45,1,
2870,EI-HOB,2025-06-03 16:12,2025-06-03 16:12,1,
2871,EI-DPL,2025-06-03 16:01,2025-06-03 16:01,1,
2872,YR-FIC,2025-06-03 15:51,2025-06-03 15:51,1,
2869,9H-QET,2025-06-03 15:40,2025-06-03 15:40,1,
2865,EI-HEW,2025-06-03 15:12,2025-06-03 15:12,1,
2868,SP-RZO,2025-06-03 15:12,2025-06-03 15:12,1,
2867,9H-WBU,2025-06-03 15:10,2025-06-03 15:10,1,
2874,OK-PET,2025-06-03 15:01,2025-06-03 15:01,1,
2863,F-GUGQ,2025-06-03 14:57,2025-06-03 14:57,1,
2864,HZ-AR27,2025-06-03 14:55,2025-06-03 14:55,1,
2859,EI-HGH,2025-06-03 14:37,2025-06-03 14:37,1,
2862,OE-LWN,2025-06-03 14:37,2025-06-03 14:37,1,
2861,N228UA,2025-06-03 13:58,2025-06-03 13:58,1,
2860,A6-EUB,2025-06-03 13:47,2025-06-03 13:47,1,
2866,9H-QDX,2025-06-03 13:36,2025-06-03 13:36,1,
2856,CS-TSJ,2025-06-03 13:08,2025-06-03 13:08,1,
2854,PH-BXN,2025-06-03 12:41,2025-06-03 12:41,1,
2858,YL-ABE,2025-06-03 12:35,2025-06-03 12:35,1,
2855,SP-LVO,2025-06-03 12:28,2025-06-03 12:28,1,
2853,LN-ENL,2025-06-03 12:15,2025-06-03 12:15,1,
2852,SE-RPM,2025-06-03 11:45,2025-06-03 11:45,1,
2850,YL-ABE,2025-06-03 11:37,2025-06-03 11:37,1,
2851,G-SUND,2025-06-03 11:34,2025-06-03 11:34,1,
2857,YL-ABE,2025-06-03 11:28,2025-06-03 11:28,1,
2846,D-AIDX,2025-06-03 11:07,2025-06-03 11:07,1,
2845,G-EUYU,2025-06-03 10:59,2025-06-03 10:59,1,
2844,N30913,2025-06-03 10:40,2025-06-03 10:40,1,
2842,EI-DYV,2025-06-03 10:16,2025-06-03 10:16,1,
2841,EI-NSF,2025-06-03 10:12,2025-06-03 10:12,1,
2843,TC-JIT,2025-06-03 10:04,2025-06-03 10:04,1,
2840,9H-WDR,2025-06-03 09:48,2025-06-03 09:48,1,
2839,SP-RSR,2025-06-03 09:43,2025-06-03 09:43,1,
