id,registration,first_seen,last_seen,times_seen,reason
2202,CC-BBF,2025-06-05 13:25,2025-06-05 13:25,1,
2199,OK-TVJ,2025-06-05 13:10,2025-06-05 13:10,1,
2198,SE-ROM,2025-06-05 13:05,2025-06-05 13:05,1,
2197,TC-NCP,2025-06-05 13:00,2025-06-05 13:00,1,
2196,EI-EBV,2025-06-05 12:30,2025-06-05 12:30,1,
2195,C-GOJQ,2025-06-05 12:05,2025-06-05 12:05,1,
2194,YL-ABF,2025-06-05 11:55,2025-06-05 11:55,1,
2193,G-TTNN,2025-06-05 11:05,2025-06-05 11:05,1,
2192,EI-DSU,2025-06-05 10:45,2025-06-05 10:45,1,
2191,N756AM,2025-06-05 05:20,2025-06-05 05:20,1,
2190,D-AIZH,2025-06-04 23:25,2025-06-04 23:25,1,
2189,9H-WDX,2025-06-04 20:05,2025-06-04 20:05,1,
2188,D-AISG,2025-06-04 19:35,2025-06-04 19:35,1,
2187,B-32DW,2025-06-04 19:30,2025-06-04 19:30,1,
2186,A6-EGN,2025-06-04 18:30,2025-06-04 18:30,1,
2185,4X-EKA,2025-06-04 17:55,2025-06-04 17:55,1,
2184,D-AIUD,2025-06-04 17:45,2025-06-04 17:45,1,
2183,SP-RKV,2025-06-04 17:40,2025-06-04 17:40,1,
2182,F-GZHK,2025-06-04 17:05,2025-06-04 17:05,1,
2181,SP-LWG,2025-06-04 14:35,2025-06-04 14:35,1,
2180,N809AA,2025-06-04 14:10,2025-06-04 14:10,1,
2178,TC-RDO,2025-06-04 13:05,2025-06-04 13:05,1,
2179,D-AISZ,2025-06-04 13:05,2025-06-04 13:05,1,
2177,F-GZHY,2025-06-04 12:15,2025-06-04 12:15,1,
2176,D-AISZ,2025-06-04 12:10,2025-06-04 12:10,1,
2175,EI-SIK,2025-06-04 12:05,2025-06-04 12:05,1,
2174,TC-LSU,2025-06-04 09:39,2025-06-04 09:39,1,
2173,EI-DEK,2025-06-04 09:27,2025-06-04 09:27,1,
2171,N815NW,2025-06-04 09:06,2025-06-04 09:06,1,
2170,OE-LSQ,2025-06-04 09:04,2025-06-04 09:04,1,
2172,G-EZDD,2025-06-04 09:02,2025-06-04 09:02,1,
2168,B-LQD,2025-06-04 08:12,2025-06-04 08:12,1,
2169,9H-VUO,2025-06-04 08:08,2025-06-04 08:08,1,
2167,C-FGEO,2025-06-04 07:50,2025-06-04 07:50,1,
2166,B-323H,2025-06-04 07:38,2025-06-04 07:38,1,
2165,N76064,2025-06-04 07:20,2025-06-04 07:20,1,
2164,C-GHKC,2025-06-04 06:23,2025-06-04 06:23,1,
2163,N786AN,2025-06-04 05:34,2025-06-04 05:34,1,
